,flags,utterance,category,intent,response
0,BILC,"['online', 'account', 'register']",ACCOUNT,create_account,response for create_account
1,BILQZ,"['tell', 'regisger', 'two', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
2,BPLC,"['online', 'account', 'open', 'one', 'please']",ACCOUNT,create_account,response for create_account
3,BIPLD,"['could', 'ask', 'agent', 'open', 'account', 'please']",ACCOUNT,create_account,response for create_account
4,BLQC,"['want', 'online', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
5,BSLC,"['want', 'account', 'need', 'help', 'opening', 'one']",ACCOUNT,create_account,response for create_account
6,BLZ,"['tell', 'register', 'two', 'online', 'account', 'email']",ACCOUNT,create_account,response for create_account
7,BPLQ,"['want', 'know', 'could', 'create', 'two', 'profile', 'email', 'address']",ACCOUNT,create_account,response for create_account
8,BIMLQW,"['tell', 'create', 'one', 'fucking', 'user', 'account', 'email']",ACCOUNT,create_account,response for create_account
9,BLZ,"['create', 'onlind', 'account']",ACCOUNT,create_account,response for create_account
10,BMLQ,"['wanna', 'know', 'create', 'one', 'user', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
11,BIL,"['create', 'two', 'online', 'account', 'single', 'email']",ACCOUNT,create_account,response for create_account
12,BILC,"['user', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
13,BILQC,"['user', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
14,BMQ,"['want', 'know', 'several', 'account']",ACCOUNT,create_account,response for create_account
15,BILCZ,"['profile', 'creae', 'one']",ACCOUNT,create_account,response for create_account
16,BSLC,"['online', 'account', 'need', 'help', 'creating', 'one']",ACCOUNT,create_account,response for create_account
17,BL,"['want', 'know', 'register', 'several', 'user', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
18,BILC,"['want', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
19,BPL,"['tell', 'could', 'register', 'two', 'user', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
20,BSLCZ,"['account', 'need', 'help', 'opening', 'one']",ACCOUNT,create_account,response for create_account
21,BILC,"['got', 'user', 'account', 'register']",ACCOUNT,create_account,response for create_account
22,BLC,"['need', 'user', 'account', 'want', 'create', 'one']",ACCOUNT,create_account,response for create_account
23,BILC,"['need', 'online', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
24,BILC,"['profile', 'create', 'one']",ACCOUNT,create_account,response for create_account
25,BL,"['tell', 'register', 'two', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
26,BLC,"['got', 'online', 'account', 'help', 'open', 'one']",ACCOUNT,create_account,response for create_account
27,BILQC,"['ive', 'got', 'online', 'account', 'register']",ACCOUNT,create_account,response for create_account
28,BLQ,"['want', 'know', 'register', 'several', 'profile', 'email', 'address']",ACCOUNT,create_account,response for create_account
29,BSLQ,"['need', 'help', 'registering']",ACCOUNT,create_account,response for create_account
30,BML,"['want', 'know', 'several', 'account']",ACCOUNT,create_account,response for create_account
31,BSLC,"['need', 'account', 'need', 'help', 'opening', 'one']",ACCOUNT,create_account,response for create_account
32,BIC,"['want', 'create', 'account']",ACCOUNT,create_account,response for create_account
33,BPLC,"[""i'd"", 'like', 'user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
34,BLQCZ,"['want', 'user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
35,BILQC,"['need', 'online', 'account']",ACCOUNT,create_account,response for create_account
36,BMLQ,"['want', 'know', 'create', 'one', 'account', 'single', 'email']",ACCOUNT,create_account,response for create_account
37,BLC,"['user', 'account', 'register']",ACCOUNT,create_account,response for create_account
38,BILC,"['want', 'register']",ACCOUNT,create_account,response for create_account
39,BSLC,"['got', 'online', 'account', 'need', 'help', 'opening', 'one']",ACCOUNT,create_account,response for create_account
40,BPSLQWC,"['fucking', 'account', 'need', 'help', 'registering', 'please']",ACCOUNT,create_account,response for create_account
41,BML,"['want', 'know', 'register', 'one', 'user', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
42,BLZ,"['want', 'knoe', 'create', 'two', 'profile', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
43,BI,"['one', 'account']",ACCOUNT,create_account,response for create_account
44,BILC,"['want', 'profile']",ACCOUNT,create_account,response for create_account
45,BILC,"['need', 'online', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
46,BSLEQCZ,"['dont', 'account', 'need', 'help', 'opening', 'one']",ACCOUNT,create_account,response for create_account
47,BILCZ,"['want', 'profille', 'create', 'one']",ACCOUNT,create_account,response for create_account
48,BILQ,"['open', 'online', 'account']",ACCOUNT,create_account,response for create_account
49,BPLQD,"['ask', 'agent', 'could', 'create', 'user', 'account']",ACCOUNT,create_account,response for create_account
50,BILEQC,"['dont', 'online', 'account']",ACCOUNT,create_account,response for create_account
51,BILQ,['register'],ACCOUNT,create_account,response for create_account
52,BIC,['account'],ACCOUNT,create_account,response for create_account
53,BLZ,"['watn', 'know', 'register', 'two', 'profile', 'email', 'address']",ACCOUNT,create_account,response for create_account
54,BILQ,"['create', 'online', 'account']",ACCOUNT,create_account,response for create_account
55,BPML,"['please', 'want', 'know', 'could', 'create', 'one', 'profile', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
56,BILC,"[""i've"", 'got', 'profile', 'create', 'one']",ACCOUNT,create_account,response for create_account
57,BIPLEWCZ,"['would', 'like', 'fucking', 'user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
58,BICZ,"['account', 'ylu', 'help']",ACCOUNT,create_account,response for create_account
59,BMLQ,"['want', 'know', 'create', 'one', 'account', 'email', 'address']",ACCOUNT,create_account,response for create_account
60,BILC,"['got', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
61,BLQ,"['want', 'know', 'create', 'two', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
62,BC,"['want', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
63,BIQC,"['want', 'account', 'u', 'create', 'one']",ACCOUNT,create_account,response for create_account
64,BIC,"['got', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
65,BILC,"['got', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
66,BSLC,"['user', 'account', 'need', 'help', 'opening', 'one']",ACCOUNT,create_account,response for create_account
67,BILCZ,"[""i've"", 'got', 'account', 'register']",ACCOUNT,create_account,response for create_account
68,BILQC,"['want', 'create', 'online', 'account']",ACCOUNT,create_account,response for create_account
69,BML,"['want', 'know', 'create', 'one', 'online', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
70,BILC,"['got', 'user', 'account', 'help']",ACCOUNT,create_account,response for create_account
71,BC,"['account', 'create', 'one']",ACCOUNT,create_account,response for create_account
72,BILC,"['online', 'account']",ACCOUNT,create_account,response for create_account
73,BILQ,"['one', 'online', 'account']",ACCOUNT,create_account,response for create_account
74,BLQ,"['want', 'know', 'register', 'two', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
75,BILQC,"['account', 'open', 'one']",ACCOUNT,create_account,response for create_account
76,BILCZ,"['user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
77,BIL,"['one', 'online', 'account']",ACCOUNT,create_account,response for create_account
78,BLQ,"['wanna', 'know', 'create', 'two', 'online', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
79,BILC,"['want', 'user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
80,BILQ,"['tell', 'register', 'several', 'account', 'single', 'email']",ACCOUNT,create_account,response for create_account
81,BL,"['want', 'open', 'user', 'account']",ACCOUNT,create_account,response for create_account
82,BPL,"['please', 'want', 'know', 'create', 'two', 'user', 'account', 'email']",ACCOUNT,create_account,response for create_account
83,BLCZ,"['got', 'auser', 'account', 'help', 'open', 'one']",ACCOUNT,create_account,response for create_account
84,BPLEQC,"['dont', 'user', 'account', 'want', 'open', 'one', 'please']",ACCOUNT,create_account,response for create_account
85,BMLQZ,"['wanna', 'know', 'register', 'oneuser', 'account', 'email']",ACCOUNT,create_account,response for create_account
86,BILC,"['account', 'open', 'one']",ACCOUNT,create_account,response for create_account
87,BML,"['want', 'know', 'register', 'one', 'user', 'account', 'single', 'email']",ACCOUNT,create_account,response for create_account
88,BLEQCZ,"['dont', 'user', 'accolunt', 'create', 'one']",ACCOUNT,create_account,response for create_account
89,BL,"['tell', 'create', 'two', 'online', 'account', 'email']",ACCOUNT,create_account,response for create_account
90,BILQ,"['tell', 'register', 'several', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
91,BL,"['got', 'profile']",ACCOUNT,create_account,response for create_account
92,BZ,"['want', 'nkow', 'register', 'two', 'account', 'email']",ACCOUNT,create_account,response for create_account
93,BIML,"['tell', 'create', 'one', 'user', 'account', 'email']",ACCOUNT,create_account,response for create_account
94,BILC,"['user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
95,BILEQC,"['dont', 'profile', 'u', 'create', 'one']",ACCOUNT,create_account,response for create_account
96,BML,"['want', 'know', 'several', 'account']",ACCOUNT,create_account,response for create_account
97,BILC,"['got', 'online', 'account', 'register']",ACCOUNT,create_account,response for create_account
98,BIPL,"['tell', 'could', 'create', 'two', 'account', 'single', 'email', 'please']",ACCOUNT,create_account,response for create_account
99,BLC,"['need', 'account', 'want', 'open', 'one']",ACCOUNT,create_account,response for create_account
100,BIC,"[""i've"", 'got', 'account', 'create', 'one']",ACCOUNT,create_account,response for create_account
101,BILCZ,"[""i've"", 'got', 'account', 'register']",ACCOUNT,create_account,response for create_account
102,BPLEC,"['want', 'user', 'account', 'would', 'like', 'open', 'one', 'please']",ACCOUNT,create_account,response for create_account
103,BIL,"['tell', 'create', 'several', 'online', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
104,BIC,"['want', 'account']",ACCOUNT,create_account,response for create_account
105,BMLQ,"['wanna', 'know', 'register', 'one', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
106,BML,"['tell', 'create', 'one', 'online', 'account', 'single', 'email', 'address']",ACCOUNT,create_account,response for create_account
107,BILZ,"['odl', 'register']",ACCOUNT,create_account,response for create_account
108,BSL,"['need', 'help', 'opening', 'online', 'account']",ACCOUNT,create_account,response for create_account
109,BQ,"['want', 'create', 'account']",ACCOUNT,create_account,response for create_account
110,BILC,"['user', 'account', 'open', 'one']",ACCOUNT,create_account,response for create_account
